customer_id,total_orders,total_amount,avg_order_value,recency_days,support_ticket_count
CUST00001,6,2955.57,492.595,167,2.0
CUST00002,3,1713.1,571.0333333333333,34,1.0
CUST00003,1,649.98,649.98,231,0.0
CUST00004,1,1604.04,1604.04,191,0.0
CUST00005,6,3910.43,651.7383333333333,10,1.0
CUST00007,2,1219.9,609.95,2,0.0
CUST00009,2,803.99,401.995,28,0.0
CUST00010,2,1984.18,992.09,8,0.0
CUST00011,4,2912.49,728.1225,6,0.0
CUST00012,2,2051.63,1025.815,110,1.0
CUST00013,4,2934.52,733.63,2,1.0
CUST00014,13,9108.63,700.6638461538461,0,2.0
CUST00015,5,5805.34,1161.068,0,0.0
CUST00017,3,1699.1399999999999,566.38,346,0.0
CUST00019,3,2719.02,906.34,34,0.0
CUST00020,3,4487.950000000001,1495.9833333333336,428,1.0
CUST00021,2,1059.3,529.65,137,1.0
CUST00022,2,1332.67,666.335,36,0.0
CUST00023,2,772.04,386.02,41,0.0
CUST00026,4,4521.43,1130.3575,40,1.0
CUST00028,3,1853.73,617.91,3,1.0
CUST00029,11,7122.8,647.5272727272727,11,0.0
CUST00031,1,672.95,672.95,109,0.0
CUST00034,7,4165.39,595.0557142857143,52,3.0
CUST00035,3,1369.71,456.57,187,0.0
CUST00036,4,1737.33,434.3325,87,1.0
CUST00037,3,2021.52,673.84,8,0.0
CUST00038,6,2761.52,460.25333333333333,10,1.0
CUST00039,4,2094.09,523.5225,30,0.0
CUST00040,1,634.73,634.73,214,1.0
CUST00041,4,1911.8600000000001,477.96500000000003,114,1.0
CUST00042,10,7919.28,791.928,45,6.0
CUST00045,1,413.75,413.75,156,0.0
CUST00046,1,489.87,489.87,187,0.0
CUST00047,1,764.43,764.43,264,0.0
CUST00049,2,1172.61,586.305,38,0.0
CUST00050,4,3169.58,792.395,55,1.0
CUST00051,4,4444.3,1111.075,270,2.0
CUST00052,3,2807.14,935.7133333333333,115,1.0
CUST00054,2,1154.37,577.185,22,0.0
CUST00055,4,1707.24,426.81,0,1.0
CUST00057,2,2510.83,1255.415,196,0.0
CUST00060,1,293.22,293.22,205,0.0
CUST00061,5,2511.7200000000003,502.34400000000005,2,1.0
CUST00062,5,3135.08,627.016,49,1.0
CUST00063,1,397.69,397.69,276,1.0
CUST00065,4,3966.91,991.7275,0,0.0
CUST00066,5,4598.95,919.79,380,1.0
CUST00068,3,2123.66,707.8866666666667,406,1.0
CUST00069,2,874.47,437.235,89,0.0
CUST00070,1,542.98,542.98,98,0.0
CUST00071,1,2062.5,2062.5,92,1.0
CUST00072,4,2587.02,646.755,150,0.0
CUST00073,7,6253.77,893.3957142857143,44,0.0
CUST00074,5,2884.48,576.896,25,1.0
CUST00075,11,7714.719999999999,701.3381818181817,43,4.0
CUST00076,4,2888.0299999999997,722.0074999999999,0,0.0
CUST00078,1,894.45,894.45,199,1.0
CUST00079,1,619.57,619.57,251,0.0
CUST00080,4,2832.98,708.245,7,0.0
CUST00081,9,5805.78,645.0866666666666,40,3.0
CUST00083,2,806.87,403.435,149,1.0
CUST00084,1,1273.18,1273.18,227,0.0
CUST00085,1,1257.8,1257.8,74,0.0
CUST00087,4,3610.9700000000003,902.7425000000001,27,0.0
CUST00089,2,2825.75,1412.875,225,0.0
CUST00090,5,2498.83,499.76599999999996,49,1.0
CUST00091,5,5844.34,1168.868,17,1.0
CUST00095,1,372.65,372.65,125,1.0
CUST00097,8,5040.67,630.08375,28,2.0
CUST00098,2,1843.57,921.785,244,1.0
CUST00099,6,3861.8199999999997,643.6366666666667,44,1.0
CUST00101,5,3514.87,702.9739999999999,168,2.0
CUST00102,2,2048.62,1024.31,17,0.0
CUST00103,3,2581.31,860.4366666666666,6,0.0
CUST00105,2,2846.2999999999997,1423.1499999999999,39,0.0
CUST00106,7,4352.11,621.7299999999999,121,1.0
CUST00108,1,1074.5,1074.5,104,1.0
CUST00110,6,3922.07,653.6783333333334,95,2.0
CUST00112,9,6542.4,726.9333333333333,33,1.0
CUST00113,3,2095.48,698.4933333333333,7,0.0
CUST00115,1,596.54,596.54,219,1.0
CUST00117,4,2534.33,633.5825,183,0.0
CUST00118,4,2001.17,500.2925,13,0.0
CUST00119,6,4466.32,744.3866666666667,5,1.0
CUST00120,2,755.8399999999999,377.91999999999996,31,0.0
CUST00122,2,2048.93,1024.465,166,0.0
CUST00123,7,3742.48,534.64,28,3.0
CUST00124,4,2570.5,642.625,254,0.0
CUST00125,3,2455.21,818.4033333333333,16,0.0
CUST00126,2,1260.02,630.01,117,0.0
CUST00129,5,4049.54,809.908,31,2.0
CUST00130,2,1850.58,925.29,56,0.0
CUST00131,6,6830.01,1138.335,127,0.0
CUST00132,5,4876.780000000001,975.3560000000001,177,0.0
CUST00136,1,514.9,514.9,131,0.0
CUST00138,2,1424.6100000000001,712.3050000000001,35,0.0
CUST00143,7,7890.950000000001,1127.2785714285715,50,0.0
CUST00146,6,6990.9400000000005,1165.1566666666668,5,1.0
CUST00147,4,3412.56,853.14,26,1.0
CUST00148,5,3702.7,740.54,14,1.0
CUST00149,3,2362.6400000000003,787.5466666666667,9,0.0
CUST00150,5,2641.09,528.2180000000001,34,0.0
CUST00151,8,6240.6,780.075,43,3.0
CUST00152,8,5508.0,688.5,9,4.0
CUST00153,3,1619.74,539.9133333333333,25,0.0
CUST00154,10,8542.89,854.289,41,0.0
CUST00155,4,2343.2799999999997,585.8199999999999,31,0.0
CUST00158,1,812.34,812.34,215,0.0
CUST00159,2,3713.77,1856.885,534,0.0
CUST00161,7,6171.42,881.6314285714286,13,0.0
CUST00162,2,1194.5900000000001,597.2950000000001,151,0.0
CUST00163,2,1100.06,550.03,21,0.0
CUST00164,5,4657.03,931.406,282,1.0
CUST00166,3,3227.7,1075.8999999999999,37,1.0
CUST00167,1,423.24,423.24,279,0.0
CUST00168,5,4794.47,958.894,12,0.0
CUST00169,1,1799.45,1799.45,282,0.0
CUST00170,12,7634.5599999999995,636.2133333333333,16,1.0
CUST00172,8,6232.719999999999,779.0899999999999,44,3.0
CUST00173,6,2018.8200000000002,336.47,42,1.0
CUST00174,7,3507.37,501.05285714285714,2,2.0
CUST00175,4,3568.3199999999997,892.0799999999999,119,1.0
CUST00176,4,6283.41,1570.8525,9,0.0
CUST00178,9,5965.32,662.8133333333333,32,4.0
CUST00179,4,1767.07,441.7675,35,2.0
CUST00180,2,1570.85,785.425,156,1.0
CUST00181,2,1815.8899999999999,907.9449999999999,34,0.0
CUST00182,2,672.78,336.39,59,0.0
CUST00185,9,5475.0,608.3333333333334,24,0.0
CUST00186,2,2279.63,1139.815,15,1.0
CUST00187,4,2223.79,555.9475,52,1.0
CUST00189,11,8207.06,746.0963636363635,3,3.0
CUST00190,2,854.78,427.39,17,1.0
CUST00193,1,424.74,424.74,217,0.0
CUST00195,2,1955.96,977.98,2,1.0
CUST00196,2,1272.38,636.19,84,1.0
CUST00198,10,7958.04,795.804,25,2.0
CUST00200,9,7636.45,848.4944444444444,25,1.0
CUST00201,7,6691.56,955.9371428571429,153,2.0
CUST00202,2,2363.2200000000003,1181.6100000000001,47,0.0
CUST00204,6,3646.77,607.795,46,0.0
CUST00205,6,3610.58,601.7633333333333,6,0.0
CUST00206,10,6479.7,647.97,178,3.0
CUST00207,1,193.1,193.1,78,0.0
CUST00208,6,6865.35,1144.2250000000001,151,1.0
CUST00210,2,1254.8700000000001,627.4350000000001,188,0.0
CUST00211,7,27920.05,3988.578571428571,27,1.0
CUST00212,3,2071.6800000000003,690.5600000000001,264,0.0
CUST00213,2,1680.61,840.305,146,2.0
CUST00214,1,1427.16,1427.16,124,0.0
CUST00215,3,1564.1,521.3666666666667,94,1.0
CUST00216,1,1349.42,1349.42,108,1.0
CUST00217,3,1179.94,393.31333333333333,139,0.0
CUST00218,4,2728.57,682.1425,14,0.0
CUST00219,6,2782.79,463.79833333333335,214,1.0
CUST00220,4,1750.5,437.625,18,1.0
CUST00221,3,1357.66,452.55333333333334,8,0.0
CUST00222,2,1259.5,629.75,246,1.0
CUST00223,1,757.58,757.58,163,1.0
